ROLE,ORGANISATION,STATUS,APPLICATION DATE,1ST INTERVIEW,2ND INTERVIEW,3RD INTERVIEW,URL,ORIGINAL URL,NOTES
Software Engineer,Unknown (Shift F5),Applied,03/08/2024,,,,https://www.linkedin.com/jobs/view/3984786164,,viewed on 2024-08-05
Web Developer (Django + React),Rightly,Unsuccessful,06/08/2024,,,,https://www.linkedin.com/jobs/view/3986585076,,"viewed on 2024-08-08
rejected on 2024-08-12"
